"Qty","Reference","Value","DNP","Mouser"
"1","C1","10uF","",""
"9","C2,C3,C4,C5,C6,C7,C8,C9,C10","0.1uF","",""
"1","J1","TFT 4383","",""
"1","J2","mrd_114_ips_lcd_8p","",""
"1","Q1","XP9561GI","","603-XP9561GI"
"5","R1,RN1,RN2,RN3,RN4","33","",""
"2","R2,R3","680","",""
"6","R4,R6,R7,R8,R9,R10","4.7K","",""
"1","R5","100","",""
"1","SW1","RotaryEncoder_Switch","","667-EVE-YBCAJO16B"
"1","SW2","BACK","","653-B3F-4005"
"1","TP1","5V","","534-5005"
"2","TP2,TP6","GND","","534-5006"
"1","TP3","12V","","534-5009"
"1","TP4","-5V","","534-5007"
"1","TP5","5VIN","","534-5005"
"1","U1","PICO2","",""
"1","U2","4116","",""
"1","U3","4132","",""
"1","U4","4164/41128/41256","",""
"1","U5","4416/4464","",""
"1","U6","44256","",""
"1","U7","DCDC_ITR03","","490-ITR0305S12"
"1","U8","RFM-0505S","","919-RFM-0505S"
"1","U9","APX803S","","621-APX803S-29SA-7"
